id,category,item,manufacturer,model,qty,status,rating,interface,purpose,vendor_url,notes
pi,controller,Raspberry Pi,Raspberry Pi,3 Model B v1.2,1,installed,5 V,GPIO/USB/Ethernet/Wi-Fi/Bluetooth,Supervisory controller and logger,,1 GB RAM; 4x USB 2.0; 40-pin GPIO
usb-hub,controller,Powered USB hub,Waveshare,USB 3.2-Gen1-HUB-4U,1,installed,external 5 V / USB bus,USB 3.2 Gen 1 upstream / 4 downstream,Isolates telemetry adapter bus power from the Pi,,Installed inline 2026-06-09 to eliminate 5 V brownouts that were dropping the CAN adapter
bench-usb-hub,controller,USB hub (bus-powered),Weme,RTS5411-based 3-port + RTL8153 ethernet,1,installed,USB bus power (shared Pi budget),USB 3.0 upstream / 3 USB ports + gigabit jack,Bench expansion; keyboard/mouse fallback,,Bus-powered: keep operational telemetry adapters on the powered Waveshare hub. Built-in RTL8153 NIC deauthorized via udev (0bda:8153) to cut power draw; delete that rule to re-enable
dc-12v,power,48V to 12V DC-DC converter,Victron Energy,Orion-Tr IP43 48/12-9 (110 W),1,installed,48 V in / 12 V 9 A out,48 V bus to 12 V control bus,12 V control rail for thermostat and relay/SSR/fan loads,,Installed and working
dc-5v,power,48V to 5V DC-DC converter,Mean Well,DDR-60L-5,1,on-hand,48 V in / 5 V 60 W out,DIN rail,Pi 5 V supply,,
kindle-display,display,Kindle wall display,Amazon,Kindle Touch (jailbroken),1,installed,battery / USB charge,Wi-Fi browser,Wall display for supervisor dashboard,,Bookmarked to port 8080; see docs/subsystems/display-services.md
can-adapter,monitoring,USB-to-CAN adapter,DSD TECH,SH-C31G,1,installed,USB powered,USB Type-B / CAN terminal block,Battery CAN telemetry (can0),https://www.deshide.com/product-details_SH-C31G.html,CANable 2.0 based; Cubix RJ45 pinout: pin 4 CANH / pin 5 CANL / pins 3+6 GND
magnum-rs485-adapter,monitoring,USB-to-RS485 adapter (Magnum),KL,KL0823B 2-wire,1,installed,USB powered,USB-A / RS485 2-wire (A B),Magnum network telemetry tap at /dev/magnum-rs485 (read-only by policy per decision 0002; adapter is TX-capable, so inverter-toggle writes remain possible). 2-wire half-duplex auto-direction; fine for read + one-shot toggles, not for tight slave-window arbitration. Breakout pin 6 -> A, pin 3 -> B; pins 4/5 unused. CH340 (1a86:7523, no serial) - udev symlink keyed on VID:PID, would collide with the official Eco-Worthy CH340 cable if ever added
epever-rs485-adapter,monitoring,USB-to-RS485 adapter (EPEver),DSD TECH,SH-U11H,1,installed,USB powered,USB-A / RS485 screw terminals (A+ B- GND),EPEver TEP10425 Modbus RTU comms at /dev/epever-rs485,,Industrial isolated; PL2303 067b:23a3; EPEver COM RJ45 pin 3 -> adapter A/D+, pin 6 -> adapter B/D-, pin 8 -> GND
spare-rs485-adapter,monitoring,USB-to-RS485 adapter,Waveshare,USB TO RS485/422 industrial isolated,1,ordered,USB powered,USB / RS485 screw terminal,Spare isolated RS485 adapter,https://www.waveshare.com/usb-to-rs485-422.htm,Originally ordered for EPEver; keep for future dedicated bus or bench work
ft232r-rs485-cable,monitoring,USB-to-RS485 cable,Generic,FT232R-based,1,on-hand,USB powered,USB-A / RS485,Cubix BMS RS485 access (Eco-Worthy User Companion Software),,udev name /dev/cubix-rs485 (serial A50285BI - stock counterfeit-FT232R serial; check Waveshare for collision on arrival); Companion software exposes per-cell voltages/temps and maintenance functions behind a write lock
kl0823b-spare,monitoring,USB-to-RS485 adapter (spare),KL,KL0823B 2-wire,1,on-hand,USB powered,USB-A / RS485 2-wire (A B),Spare 2-wire RS485; candidate for a Cubix cell-monitoring tap,,CH340 (1a86:7523) - shares VID:PID with the installed Magnum adapter, so a serial-less collision: needs a port-path udev rule if both are ever active. See ecoworthy-rs485-interface.md for the cell-monitor feasibility notes
esm-100,monitoring,Battery remote monitor,Eco-Worthy,ESM-100,1,installed,battery accessory powered,battery monitor link,Voltage/current/SOC display at the rack,,
